lexeme,variants,msg,mpl,fsg,fpl
antidreyfusard,antidreyfusard,ɑ̃tidʁEfyzaʁ,ɑ̃tidʁEfyzaʁ,ɑ̃tidʁEfyzaʁd,ɑ̃tidʁEfyzaʁd
antidrogue,antidrogue,ɑ̃tidʁɔg,ɑ̃tidʁɔg,ɑ̃tidʁɔg,ɑ̃tidʁɔg
antifrançais,antifrançais,ɑ̃tifʁɑ̃sɛ,ɑ̃tifʁɑ̃sɛ,ɑ̃tifʁɑ̃sɛz,ɑ̃tifʁɑ̃sɛz
antifumée,antifumée,ɑ̃tifyme,ɑ̃tifyme,ɑ̃tifyme,ɑ̃tifyme
antigang,antigang,ɑ̃tigɑ̃g,ɑ̃tigɑ̃g,ɑ̃tigɑ̃g,ɑ̃tigɑ̃g
antigaulliste,antigaulliste,ɑ̃tigOlist,ɑ̃tigOlist,ɑ̃tigOlist,ɑ̃tigOlist
antigel,antigel,ɑ̃tiʒɛl,ɑ̃tiʒɛl,ɑ̃tiʒɛl,ɑ̃tiʒɛl
antigravitationnel,antigravitationnel,ɑ̃tigʁavitasjOnɛl,ɑ̃tigʁavitasjOnɛl,ɑ̃tigʁavitasjOnɛl,ɑ̃tigʁavitasjOnɛl
antihémorragique,antihémorragique,ɑ̃tiEmOʁaʒik,ɑ̃tiEmOʁaʒik,ɑ̃tiEmOʁaʒik,ɑ̃tiEmOʁaʒik
antihistaminique,antihistaminique,ɑ̃tiistaminik,ɑ̃tiistaminik,ɑ̃tiistaminik,ɑ̃tiistaminik
antihygiénique,antihygiénique,ɑ̃tiiʒjEnik,ɑ̃tiiʒjEnik,ɑ̃tiiʒjEnik,ɑ̃tiiʒjEnik
antillais,antillais,ɑ̃tijɛ,ɑ̃tijɛ,ɑ̃tijɛz,ɑ̃tijɛz
antilogique,antilogique,ɑ̃tilOʒik,ɑ̃tilOʒik,ɑ̃tilOʒik,ɑ̃tilOʒik
antimaçonnique,antimaçonnique,ɑ̃timasOnik,ɑ̃timasOnik,ɑ̃timasOnik,ɑ̃timasOnik
antimarxiste,antimarxiste,ɑ̃timaʁksist,ɑ̃timaʁksist,ɑ̃timaʁksist,ɑ̃timaʁksist
antimicrobien,antimicrobien,ɑ̃timikʁObjɛ̃,ɑ̃timikʁObjɛ̃,ɑ̃timikʁObjɛn,ɑ̃timikʁObjɛn
antimigraineux,antimigraineux,ɑ̃timigʁEnø,ɑ̃timigʁEnø,ɑ̃timigʁEnøz,ɑ̃timigʁEnøz
antimilitariste,antimilitariste,ɑ̃timilitaʁist,ɑ̃timilitaʁist,ɑ̃timilitaʁist,ɑ̃timilitaʁist
antimissile,antimissile,ɑ̃timisil,ɑ̃timisil,ɑ̃timisil,ɑ̃timisil
antimite,antimite,ɑ̃timit,ɑ̃timit,ɑ̃timit,ɑ̃timit
antimonde,antimonde,ɑ̃timɔ̃d,ɑ̃timɔ̃d,ɑ̃timɔ̃d,ɑ̃timɔ̃d
antinational,antinational,ɑ̃tinasjOnal,ɑ̃tinasjOno,ɑ̃tinasjOnal,ɑ̃tinasjOnal
antinationaliste,antinationaliste,ɑ̃tinasjOnalist,ɑ̃tinasjOnalist,ɑ̃tinasjOnalist,ɑ̃tinasjOnalist
antinaturel,antinaturel,ɑ̃tinatyʁɛl,ɑ̃tinatyʁɛl,ɑ̃tinatyʁɛl,ɑ̃tinatyʁɛl
antinazi,antinazi,ɑ̃tinazi,ɑ̃tinazi,ɑ̃tinazi,ɑ̃tinazi
antinomique,antinomique,ɑ̃tinOmik,ɑ̃tinOmik,ɑ̃tinOmik,ɑ̃tinOmik
antiparasitage,antiparasitage,ɑ̃tipaʁazitaʒ,ɑ̃tipaʁazitaʒ,ɑ̃tipaʁazitaʒ,ɑ̃tipaʁazitaʒ
antiparasite,antiparasite,ɑ̃tipaʁazit,ɑ̃tipaʁazit,ɑ̃tipaʁazit,ɑ̃tipaʁazit
antipathique,antipathique,ɑ̃tipatik,ɑ̃tipatik,ɑ̃tipatik,ɑ̃tipatik
antipatriote,antipatriote,ɑ̃tipatʁijɔt,ɑ̃tipatʁijɔt,ɑ̃tipatʁijɔt,ɑ̃tipatʁijɔt
antipersonnel,antipersonnel,ɑ̃tipɛʁsOnɛl,ɑ̃tipɛʁsOnɛl,ɑ̃tipɛʁsOnɛl,ɑ̃tipɛʁsOnɛl
antiphysique,antiphysique,ɑ̃tifizik,ɑ̃tifizik,ɑ̃tifizik,ɑ̃tifizik
