lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl
toper,toper,tope,topes,tope,topons,topez,topent,topais,topais,topait,topions,topiez,topaient,toperai,toperas,topera,toperons,toperez,toperont,toperais,toperais,toperait,toperions,toperiez,toperaient,tope,topes,tope,topions,topiez,topent,topai,topas,topa,topâmes,topâtes,topèrent,topasse,topasses,topât,topassions,topassiez,topassent,tope,topons,topez
toquer,toquer,toque,toques,toque,toquons,toquez,toquent,toquais,toquais,toquait,toquions,toquiez,toquaient,toquerai,toqueras,toquera,toquerons,toquerez,toqueront,toquerais,toquerais,toquerait,toquerions,toqueriez,toqueraient,toque,toques,toque,toquions,toquiez,toquent,toquai,toquas,toqua,toquâmes,toquâtes,toquèrent,toquasse,toquasses,toquât,toquassions,toquassiez,toquassent,toque,toquons,toquez
torcher,torcher,torche,torches,torche,torchons,torchez,torchent,torchais,torchais,torchait,torchions,torchiez,torchaient,torcherai,torcheras,torchera,torcherons,torcherez,torcheront,torcherais,torcherais,torcherait,torcherions,torcheriez,torcheraient,torche,torches,torche,torchions,torchiez,torchent,torchai,torchas,torcha,torchâmes,torchâtes,torchèrent,torchasse,torchasses,torchât,torchassions,torchassiez,torchassent,torche,torchons,torchez
torchonner,torchonner,torchonne,torchonnes,torchonne,torchonnons,torchonnez,torchonnent,torchonnais,torchonnais,torchonnait,torchonnions,torchonniez,torchonnaient,torchonnerai,torchonneras,torchonnera,torchonnerons,torchonnerez,torchonneront,torchonnerais,torchonnerais,torchonnerait,torchonnerions,torchonneriez,torchonneraient,torchonne,torchonnes,torchonne,torchonnions,torchonniez,torchonnent,torchonnai,torchonnas,torchonna,torchonnâmes,torchonnâtes,torchonnèrent,torchonnasse,torchonnasses,torchonnât,torchonnassions,torchonnassiez,torchonnassent,torchonne,torchonnons,torchonnez
tordre,tordre,tords,tords,tord,tordons,tordez,tordent,tordais,tordais,tordait,tordions,tordiez,tordaient,tordrai,tordras,tordra,tordrons,tordrez,tordront,tordrais,tordrais,tordrait,tordrions,tordriez,tordraient,torde,tordes,torde,tordions,tordiez,tordent,tordis,tordis,tordit,tordîmes,tordîtes,tordirent,tordisse,tordisses,tordît,tordissions,tordissiez,tordissent,tords,tordons,tordez
toréer,toréer,torée,torées,torée,toréons,toréez,toréent,toréais,toréais,toréait,toréions,toréiez,toréaient,toréerai,toréeras,toréera,toréerons,toréerez,toréeront,toréerais,toréerais,toréerait,toréerions,toréeriez,toréeraient,torée,torées,torée,toréions,toréiez,toréent,toréai,toréas,toréa,toréâmes,toréâtes,toréèrent,toréasse,toréasses,toréât,toréassions,toréassiez,toréassent,torée,toréons,toréez
torpiller,torpiller,torpille,torpilles,torpille,torpillons,torpillez,torpillent,torpillais,torpillais,torpillait,torpillions,torpilliez,torpillaient,torpillerai,torpilleras,torpillera,torpillerons,torpillerez,torpilleront,torpillerais,torpillerais,torpillerait,torpillerions,torpilleriez,torpilleraient,torpille,torpilles,torpille,torpillions,torpilliez,torpillent,torpillai,torpillas,torpilla,torpillâmes,torpillâtes,torpillèrent,torpillasse,torpillasses,torpillât,torpillassions,torpillassiez,torpillassent,torpille,torpillons,torpillez
tortiller,tortiller,tortille,tortilles,tortille,tortillons,tortillez,tortillent,tortillais,tortillais,tortillait,tortillions,tortilliez,tortillaient,tortillerai,tortilleras,tortillera,tortillerons,tortillerez,tortilleront,tortillerais,tortillerais,tortillerait,tortillerions,tortilleriez,tortilleraient,tortille,tortilles,tortille,tortillions,tortilliez,tortillent,tortillai,tortillas,tortilla,tortillâmes,tortillâtes,tortillèrent,tortillasse,tortillasses,tortillât,tortillassions,tortillassiez,tortillassent,tortille,tortillons,tortillez
tortorer,tortorer,tortore,tortores,tortore,tortorons,tortorez,tortorent,tortorais,tortorais,tortorait,tortorions,tortoriez,tortoraient,tortorerai,tortoreras,tortorera,tortorerons,tortorerez,tortoreront,tortorerais,tortorerais,tortorerait,tortorerions,tortoreriez,tortoreraient,tortore,tortores,tortore,tortorions,tortoriez,tortorent,tortorai,tortoras,tortora,tortorâmes,tortorâtes,tortorèrent,tortorasse,tortorasses,tortorât,tortorassions,tortorassiez,tortorassent,tortore,tortorons,tortorez
torturer,torturer,torture,tortures,torture,torturons,torturez,torturent,torturais,torturais,torturait,torturions,torturiez,torturaient,torturerai,tortureras,torturera,torturerons,torturerez,tortureront,torturerais,torturerais,torturerait,torturerions,tortureriez,tortureraient,torture,tortures,torture,torturions,torturiez,torturent,torturai,torturas,tortura,torturâmes,torturâtes,torturèrent,torturasse,torturasses,torturât,torturassions,torturassiez,torturassent,torture,torturons,torturez
