lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl
fauter,fauter,faute,fautes,faute,fautons,fautez,fautent,fautais,fautais,fautait,fautions,fautiez,fautaient,fauterai,fauteras,fautera,fauterons,fauterez,fauteront,fauterais,fauterais,fauterait,fauterions,fauteriez,fauteraient,faute,fautes,faute,fautions,fautiez,fautent,fautai,fautas,fauta,fautâmes,fautâtes,fautèrent,fautasse,fautasses,fautât,fautassions,fautassiez,fautassent,faute,fautons,fautez
favoriser,favoriser,favorise,favorises,favorise,favorisons,favorisez,favorisent,favorisais,favorisais,favorisait,favorisions,favorisiez,favorisaient,favoriserai,favoriseras,favorisera,favoriserons,favoriserez,favoriseront,favoriserais,favoriserais,favoriserait,favoriserions,favoriseriez,favoriseraient,favorise,favorises,favorise,favorisions,favorisiez,favorisent,favorisai,favorisas,favorisa,favorisâmes,favorisâtes,favorisèrent,favorisasse,favorisasses,favorisât,favorisassions,favorisassiez,favorisassent,favorise,favorisons,favorisez
faxer,faxer,faxe,faxes,faxe,faxons,faxez,faxent,faxais,faxais,faxait,faxions,faxiez,faxaient,faxerai,faxeras,faxera,faxerons,faxerez,faxeront,faxerais,faxerais,faxerait,faxerions,faxeriez,faxeraient,faxe,faxes,faxe,faxions,faxiez,faxent,faxai,faxas,faxa,faxâmes,faxâtes,faxèrent,faxasse,faxasses,faxât,faxassions,faxassiez,faxassent,faxe,faxons,faxez
fayoter,fayoter,fayote,fayotes,fayote,fayotons,fayotez,fayotent,fayotais,fayotais,fayotait,fayotions,fayotiez,fayotaient,fayoterai,fayoteras,fayotera,fayoterons,fayoterez,fayoteront,fayoterais,fayoterais,fayoterait,fayoterions,fayoteriez,fayoteraient,fayote,fayotes,fayote,fayotions,fayotiez,fayotent,fayotai,fayotas,fayota,fayotâmes,fayotâtes,fayotèrent,fayotasse,fayotasses,fayotât,fayotassions,fayotassiez,fayotassent,fayote,fayotons,fayotez
féconder,féconder,féconde,fécondes,féconde,fécondons,fécondez,fécondent,fécondais,fécondais,fécondait,fécondions,fécondiez,fécondaient,féconderai,féconderas,fécondera,féconderons,féconderez,féconderont,féconderais,féconderais,féconderait,féconderions,féconderiez,féconderaient,féconde,fécondes,féconde,fécondions,fécondiez,fécondent,fécondai,fécondas,féconda,fécondâmes,fécondâtes,fécondèrent,fécondasse,fécondasses,fécondât,fécondassions,fécondassiez,fécondassent,féconde,fécondons,fécondez
fédérer,fédérer,fédère,fédères,fédère,fédérons,fédérez,fédèrent,fédérais,fédérais,fédérait,fédérions,fédériez,fédéraient,fédérerai,fédéreras,fédérera,fédérerons,fédérerez,fédéreront,fédérerais,fédérerais,fédérerait,fédérerions,fédéreriez,fédéreraient,fédère,fédères,fédère,fédérions,fédériez,fédèrent,fédérai,fédéras,fédéra,fédérâmes,fédérâtes,fédérèrent,fédérasse,fédérasses,fédérât,fédérassions,fédérassiez,fédérassent,fédère,fédérons,fédérez
feindre,feindre,feins,feins,feint,feignons,feignez,feignent,feignais,feignais,feignait,feignions,feigniez,feignaient,feindrai,feindras,feindra,feindrons,feindrez,feindront,feindrais,feindrais,feindrait,feindrions,feindriez,feindraient,feigne,feignes,feigne,feignions,feigniez,feignent,feignis,feignis,feignit,feignîmes,feignîtes,feignirent,feignisse,feignisses,feignît,feignissions,feignissiez,feignissent,feins,feignons,feignez
feinter,feinter,feinte,feintes,feinte,feintons,feintez,feintent,feintais,feintais,feintait,feintions,feintiez,feintaient,feinterai,feinteras,feintera,feinterons,feinterez,feinteront,feinterais,feinterais,feinterait,feinterions,feinteriez,feinteraient,feinte,feintes,feinte,feintions,feintiez,feintent,feintai,feintas,feinta,feintâmes,feintâtes,feintèrent,feintasse,feintasses,feintât,feintassions,feintassiez,feintassent,feinte,feintons,feintez
fêler,fêler,fêle,fêles,fêle,fêlons,fêlez,fêlent,fêlais,fêlais,fêlait,fêlions,fêliez,fêlaient,fêlerai,fêleras,fêlera,fêlerons,fêlerez,fêleront,fêlerais,fêlerais,fêlerait,fêlerions,fêleriez,fêleraient,fêle,fêles,fêle,fêlions,fêliez,fêlent,fêlai,fêlas,fêla,fêlâmes,fêlâtes,fêlèrent,fêlasse,fêlasses,fêlât,fêlassions,fêlassiez,fêlassent,fêle,fêlons,fêlez
féliciter,féliciter,félicite,félicites,félicite,félicitons,félicitez,félicitent,félicitais,félicitais,félicitait,félicitions,félicitiez,félicitaient,féliciterai,féliciteras,félicitera,féliciterons,féliciterez,féliciteront,féliciterais,féliciterais,féliciterait,féliciterions,féliciteriez,féliciteraient,félicite,félicites,félicite,félicitions,félicitiez,félicitent,félicitai,félicitas,félicita,félicitâmes,félicitâtes,félicitèrent,félicitasse,félicitasses,félicitât,félicitassions,félicitassiez,félicitassent,félicite,félicitons,félicitez
féminiser,féminiser,féminise,féminises,féminise,féminisons,féminisez,féminisent,féminisais,féminisais,féminisait,féminisions,féminisiez,féminisaient,féminiserai,féminiseras,féminisera,féminiserons,féminiserez,féminiseront,féminiserais,féminiserais,féminiserait,féminiserions,féminiseriez,féminiseraient,féminise,féminises,féminise,féminisions,féminisiez,féminisent,féminisai,féminisas,féminisa,féminisâmes,féminisâtes,féminisèrent,féminisasse,féminisasses,féminisât,féminisassions,féminisassiez,féminisassent,féminise,féminisons,féminisez
fendiller,fendiller,fendille,fendilles,fendille,fendillons,fendillez,fendillent,fendillais,fendillais,fendillait,fendillions,fendilliez,fendillaient,fendillerai,fendilleras,fendillera,fendillerons,fendillerez,fendilleront,fendillerais,fendillerais,fendillerait,fendillerions,fendilleriez,fendilleraient,fendille,fendilles,fendille,fendillions,fendilliez,fendillent,fendillai,fendillas,fendilla,fendillâmes,fendillâtes,fendillèrent,fendillasse,fendillasses,fendillât,fendillassions,fendillassiez,fendillassent,fendille,fendillons,fendillez
fendre,fendre,fends,fends,fend,fendons,fendez,fendent,fendais,fendais,fendait,fendions,fendiez,fendaient,fendrai,fendras,fendra,fendrons,fendrez,fendront,fendrais,fendrais,fendrait,fendrions,fendriez,fendraient,fende,fendes,fende,fendions,fendiez,fendent,fendis,fendis,fendit,fendîmes,fendîtes,fendirent,fendisse,fendisses,fendît,fendissions,fendissiez,fendissent,fends,fendons,fendez
fermenter,fermenter,fermente,fermentes,fermente,fermentons,fermentez,fermentent,fermentais,fermentais,fermentait,fermentions,fermentiez,fermentaient,fermenterai,fermenteras,fermentera,fermenterons,fermenterez,fermenteront,fermenterais,fermenterais,fermenterait,fermenterions,fermenteriez,fermenteraient,fermente,fermentes,fermente,fermentions,fermentiez,fermentent,fermentai,fermentas,fermenta,fermentâmes,fermentâtes,fermentèrent,fermentasse,fermentasses,fermentât,fermentassions,fermentassiez,fermentassent,fermente,fermentons,fermentez
fermer,fermer,ferme,fermes,ferme,fermons,fermez,ferment,fermais,fermais,fermait,fermions,fermiez,fermaient,fermerai,fermeras,fermera,fermerons,fermerez,fermeront,fermerais,fermerais,fermerait,fermerions,fermeriez,fermeraient,ferme,fermes,ferme,fermions,fermiez,ferment,fermai,fermas,ferma,fermâmes,fermâtes,fermèrent,fermasse,fermasses,fermât,fermassions,fermassiez,fermassent,ferme,fermons,fermez
ferrailler,ferrailler,ferraille,ferrailles,ferraille,ferraillons,ferraillez,ferraillent,ferraillais,ferraillais,ferraillait,ferraillions,ferrailliez,ferraillaient,ferraillerai,ferrailleras,ferraillera,ferraillerons,ferraillerez,ferrailleront,ferraillerais,ferraillerais,ferraillerait,ferraillerions,ferrailleriez,ferrailleraient,ferraille,ferrailles,ferraille,ferraillions,ferrailliez,ferraillent,ferraillai,ferraillas,ferrailla,ferraillâmes,ferraillâtes,ferraillèrent,ferraillasse,ferraillasses,ferraillât,ferraillassions,ferraillassiez,ferraillassent,ferraille,ferraillons,ferraillez
ferrer,ferrer,ferre,ferres,ferre,ferrons,ferrez,ferrent,ferrais,ferrais,ferrait,ferrions,ferriez,ferraient,ferrerai,ferreras,ferrera,ferrerons,ferrerez,ferreront,ferrerais,ferrerais,ferrerait,ferrerions,ferreriez,ferreraient,ferre,ferres,ferre,ferrions,ferriez,ferrent,ferrai,ferras,ferra,ferrâmes,ferrâtes,ferrèrent,ferrasse,ferrasses,ferrât,ferrassions,ferrassiez,ferrassent,ferre,ferrons,ferrez
fertiliser,fertiliser,fertilise,fertilises,fertilise,fertilisons,fertilisez,fertilisent,fertilisais,fertilisais,fertilisait,fertilisions,fertilisiez,fertilisaient,fertiliserai,fertiliseras,fertilisera,fertiliserons,fertiliserez,fertiliseront,fertiliserais,fertiliserais,fertiliserait,fertiliserions,fertiliseriez,fertiliseraient,fertilise,fertilises,fertilise,fertilisions,fertilisiez,fertilisent,fertilisai,fertilisas,fertilisa,fertilisâmes,fertilisâtes,fertilisèrent,fertilisasse,fertilisasses,fertilisât,fertilisassions,fertilisassiez,fertilisassent,fertilise,fertilisons,fertilisez
fesser,fesser,fesse,fesses,fesse,fessons,fessez,fessent,fessais,fessais,fessait,fessions,fessiez,fessaient,fesserai,fesseras,fessera,fesserons,fesserez,fesseront,fesserais,fesserais,fesserait,fesserions,fesseriez,fesseraient,fesse,fesses,fesse,fessions,fessiez,fessent,fessai,fessas,fessa,fessâmes,fessâtes,fessèrent,fessasse,fessasses,fessât,fessassions,fessassiez,fessassent,fesse,fessons,fessez
festonner,festonner,festonne,festonnes,festonne,festonnons,festonnez,festonnent,festonnais,festonnais,festonnait,festonnions,festonniez,festonnaient,festonnerai,festonneras,festonnera,festonnerons,festonnerez,festonneront,festonnerais,festonnerais,festonnerait,festonnerions,festonneriez,festonneraient,festonne,festonnes,festonne,festonnions,festonniez,festonnent,festonnai,festonnas,festonna,festonnâmes,festonnâtes,festonnèrent,festonnasse,festonnasses,festonnât,festonnassions,festonnassiez,festonnassent,festonne,festonnons,festonnez
festoyer,festoyer,festoie,festoies,festoie,festoyons,festoyez,festoient,festoyais,festoyais,festoyait,festoyions,festoyiez,festoyaient,festoierai,festoieras,festoiera,festoierons,festoierez,festoieront,festoierais,festoierais,festoierait,festoierions,festoieriez,festoieraient,festoie,festoies,festoie,festoyions,festoyiez,festoient,festoyai,festoyas,festoya,festoyâmes,festoyâtes,festoyèrent,festoyasse,festoyasses,festoyât,festoyassions,festoyassiez,festoyassent,festoie,festoyons,festoyez
fêter,fêter,fête,fêtes,fête,fêtons,fêtez,fêtent,fêtais,fêtais,fêtait,fêtions,fêtiez,fêtaient,fêterai,fêteras,fêtera,fêterons,fêterez,fêteront,fêterais,fêterais,fêterait,fêterions,fêteriez,fêteraient,fête,fêtes,fête,fêtions,fêtiez,fêtent,fêtai,fêtas,fêta,fêtâmes,fêtâtes,fêtèrent,fêtasse,fêtasses,fêtât,fêtassions,fêtassiez,fêtassent,fête,fêtons,fêtez
feuilleter,feuilleter,feuillette,feuillettes,feuillette,feuilletons,feuilletez,feuillettent,feuilletais,feuilletais,feuilletait,feuilletions,feuilletiez,feuilletaient,feuilletterai,feuilletteras,feuillettera,feuilletterons,feuilletterez,feuilletteront,feuilletterais,feuilletterais,feuilletterait,feuilletterions,feuilletteriez,feuilletteraient,feuillette,feuillettes,feuillette,feuilletions,feuilletiez,feuillettent,feuilletai,feuilletas,feuilleta,feuilletâmes,feuilletâtes,feuilletèrent,feuilletasse,feuilletasses,feuilletât,feuilletassions,feuilletassiez,feuilletassent,feuillette,feuilletons,feuilletez
feuler,feuler,feule,feules,feule,feulons,feulez,feulent,feulais,feulais,feulait,feulions,feuliez,feulaient,feulerai,feuleras,feulera,feulerons,feulerez,feuleront,feulerais,feulerais,feulerait,feulerions,feuleriez,feuleraient,feule,feules,feule,feulions,feuliez,feulent,feulai,feulas,feula,feulâmes,feulâtes,feulèrent,feulasse,feulasses,feulât,feulassions,feulassiez,feulassent,feule,feulons,feulez
feutrer,feutrer,feutre,feutres,feutre,feutrons,feutrez,feutrent,feutrais,feutrais,feutrait,feutrions,feutriez,feutraient,feutrerai,feutreras,feutrera,feutrerons,feutrerez,feutreront,feutrerais,feutrerais,feutrerait,feutrerions,feutreriez,feutreraient,feutre,feutres,feutre,feutrions,feutriez,feutrent,feutrai,feutras,feutra,feutrâmes,feutrâtes,feutrèrent,feutrasse,feutrasses,feutrât,feutrassions,feutrassiez,feutrassent,feutre,feutrons,feutrez
fiancer,fiancer,fiance,fiances,fiance,fiançons,fiancez,fiancent,fiançais,fiançais,fiançait,fiancions,fianciez,fiançaient,fiancerai,fianceras,fiancera,fiancerons,fiancerez,fianceront,fiancerais,fiancerais,fiancerait,fiancerions,fianceriez,fianceraient,fiance,fiances,fiance,fiancions,fianciez,fiancent,fiançai,fianças,fiança,fiançâmes,fiançâtes,fiancèrent,fiançasse,fiançasses,fiançât,fiançassions,fiançassiez,fiançassent,fiance,fiançons,fiancez
ficeler,ficeler,ficelle,ficelles,ficelle,ficelons,ficelez,ficellent,ficelais,ficelais,ficelait,ficelions,ficeliez,ficelaient,ficellerai,ficelleras,ficellera,ficellerons,ficellerez,ficelleront,ficellerais,ficellerais,ficellerait,ficellerions,ficelleriez,ficelleraient,ficelle,ficelles,ficelle,ficelions,ficeliez,ficellent,ficelai,ficelas,ficela,ficelâmes,ficelâtes,ficelèrent,ficelasse,ficelasses,ficelât,ficelassions,ficelassiez,ficelassent,ficelle,ficelons,ficelez
ficher,ficher,fiche,fiches,fiche,fichons,fichez,fichent,fichais,fichais,fichait,fichions,fichiez,fichaient,ficherai,ficheras,fichera,ficherons,ficherez,ficheront,ficherais,ficherais,ficherait,ficherions,ficheriez,ficheraient,fiche,fiches,fiche,fichions,fichiez,fichent,fichai,fichas,ficha,fichâmes,fichâtes,fichèrent,fichasse,fichasses,fichât,fichassions,fichassiez,fichassent,fiche,fichons,fichez
fidéliser,fidéliser,fidélise,fidélises,fidélise,fidélisons,fidélisez,fidélisent,fidélisais,fidélisais,fidélisait,fidélisions,fidélisiez,fidélisaient,fidéliserai,fidéliseras,fidélisera,fidéliserons,fidéliserez,fidéliseront,fidéliserais,fidéliserais,fidéliserait,fidéliserions,fidéliseriez,fidéliseraient,fidélise,fidélises,fidélise,fidélisions,fidélisiez,fidélisent,fidélisai,fidélisas,fidélisa,fidélisâmes,fidélisâtes,fidélisèrent,fidélisasse,fidélisasses,fidélisât,fidélisassions,fidélisassiez,fidélisassent,fidélise,fidélisons,fidélisez
fier,fier,fie,fies,fie,fions,fiez,fient,fiais,fiais,fiait,fiions,fiiez,fiaient,fierai,fieras,fiera,fierons,fierez,fieront,fierais,fierais,fierait,fierions,fieriez,fieraient,fie,fies,fie,fiions,fiiez,fient,fiai,fias,fia,fiâmes,fiâtes,fièrent,fiasse,fiasses,fiât,fiassions,fiassiez,fiassent,fie,fions,fiez
figer,figer,fige,figes,fige,figeons,figez,figent,figeais,figeais,figeait,figions,figiez,figeaient,figerai,figeras,figera,figerons,figerez,figeront,figerais,figerais,figerait,figerions,figeriez,figeraient,fige,figes,fige,figions,figiez,figent,figeai,figeas,figea,figeâmes,figeâtes,figèrent,figeasse,figeasses,figeât,figeassions,figeassiez,figeassent,fige,figeons,figez
fignoler,fignoler,fignole,fignoles,fignole,fignolons,fignolez,fignolent,fignolais,fignolais,fignolait,fignolions,fignoliez,fignolaient,fignolerai,fignoleras,fignolera,fignolerons,fignolerez,fignoleront,fignolerais,fignolerais,fignolerait,fignolerions,fignoleriez,fignoleraient,fignole,fignoles,fignole,fignolions,fignoliez,fignolent,fignolai,fignolas,fignola,fignolâmes,fignolâtes,fignolèrent,fignolasse,fignolasses,fignolât,fignolassions,fignolassiez,fignolassent,fignole,fignolons,fignolez
figurer,figurer,figure,figures,figure,figurons,figurez,figurent,figurais,figurais,figurait,figurions,figuriez,figuraient,figurerai,figureras,figurera,figurerons,figurerez,figureront,figurerais,figurerais,figurerait,figurerions,figureriez,figureraient,figure,figures,figure,figurions,figuriez,figurent,figurai,figuras,figura,figurâmes,figurâtes,figurèrent,figurasse,figurasses,figurât,figurassions,figurassiez,figurassent,figure,figurons,figurez
filer,filer,file,files,file,filons,filez,filent,filais,filais,filait,filions,filiez,filaient,filerai,fileras,filera,filerons,filerez,fileront,filerais,filerais,filerait,filerions,fileriez,fileraient,file,files,file,filions,filiez,filent,filai,filas,fila,filâmes,filâtes,filèrent,filasse,filasses,filât,filassions,filassiez,filassent,file,filons,filez
filmer,filmer,filme,filmes,filme,filmons,filmez,filment,filmais,filmais,filmait,filmions,filmiez,filmaient,filmerai,filmeras,filmera,filmerons,filmerez,filmeront,filmerais,filmerais,filmerait,filmerions,filmeriez,filmeraient,filme,filmes,filme,filmions,filmiez,filment,filmai,filmas,filma,filmâmes,filmâtes,filmèrent,filmasse,filmasses,filmât,filmassions,filmassiez,filmassent,filme,filmons,filmez
filocher,filocher,filoche,filoches,filoche,filochons,filochez,filochent,filochais,filochais,filochait,filochions,filochiez,filochaient,filocherai,filocheras,filochera,filocherons,filocherez,filocheront,filocherais,filocherais,filocherait,filocherions,filocheriez,filocheraient,filoche,filoches,filoche,filochions,filochiez,filochent,filochai,filochas,filocha,filochâmes,filochâtes,filochèrent,filochasse,filochasses,filochât,filochassions,filochassiez,filochassent,filoche,filochons,filochez
filouter,filouter,filoute,filoutes,filoute,filoutons,filoutez,filoutent,filoutais,filoutais,filoutait,filoutions,filoutiez,filoutaient,filouterai,filouteras,filoutera,filouterons,filouterez,filouteront,filouterais,filouterais,filouterait,filouterions,filouteriez,filouteraient,filoute,filoutes,filoute,filoutions,filoutiez,filoutent,filoutai,filoutas,filouta,filoutâmes,filoutâtes,filoutèrent,filoutasse,filoutasses,filoutât,filoutassions,filoutassiez,filoutassent,filoute,filoutons,filoutez
filtrer,filtrer,filtre,filtres,filtre,filtrons,filtrez,filtrent,filtrais,filtrais,filtrait,filtrions,filtriez,filtraient,filtrerai,filtreras,filtrera,filtrerons,filtrerez,filtreront,filtrerais,filtrerais,filtrerait,filtrerions,filtreriez,filtreraient,filtre,filtres,filtre,filtrions,filtriez,filtrent,filtrai,filtras,filtra,filtrâmes,filtrâtes,filtrèrent,filtrasse,filtrasses,filtrât,filtrassions,filtrassiez,filtrassent,filtre,filtrons,filtrez
finaliser,finaliser,finalise,finalises,finalise,finalisons,finalisez,finalisent,finalisais,finalisais,finalisait,finalisions,finalisiez,finalisaient,finaliserai,finaliseras,finalisera,finaliserons,finaliserez,finaliseront,finaliserais,finaliserais,finaliserait,finaliserions,finaliseriez,finaliseraient,finalise,finalises,finalise,finalisions,finalisiez,finalisent,finalisai,finalisas,finalisa,finalisâmes,finalisâtes,finalisèrent,finalisasse,finalisasses,finalisât,finalisassions,finalisassiez,finalisassent,finalise,finalisons,finalisez
financer,financer,finance,finances,finance,finançons,financez,financent,finançais,finançais,finançait,financions,financiez,finançaient,financerai,financeras,financera,financerons,financerez,financeront,financerais,financerais,financerait,financerions,financeriez,financeraient,finance,finances,finance,financions,financiez,financent,finançai,finanças,finança,finançâmes,finançâtes,financèrent,finançasse,finançasses,finançât,finançassions,finançassiez,finançassent,finance,finançons,financez
finasser,finasser,finasse,finasses,finasse,finassons,finassez,finassent,finassais,finassais,finassait,finassions,finassiez,finassaient,finasserai,finasseras,finassera,finasserons,finasserez,finasseront,finasserais,finasserais,finasserait,finasserions,finasseriez,finasseraient,finasse,finasses,finasse,finassions,finassiez,finassent,finassai,finassas,finassa,finassâmes,finassâtes,finassèrent,finassasse,finassasses,finassât,finassassions,finassassiez,finassassent,finasse,finassons,finassez
finir,finir,finis,finis,finit,finissons,finissez,finissent,finissais,finissais,finissait,finissions,finissiez,finissaient,finirai,finiras,finira,finirons,finirez,finiront,finirais,finirais,finirait,finirions,finiriez,finiraient,finisse,finisses,finisse,finissions,finissiez,finissent,finis,finis,finit,finîmes,finîtes,finirent,finisse,finisses,finît,finissions,finissiez,finissent,finis,finissons,finissez
fissionner,fissionner,fissionne,fissionnes,fissionne,fissionnons,fissionnez,fissionnent,fissionnais,fissionnais,fissionnait,fissionnions,fissionniez,fissionnaient,fissionnerai,fissionneras,fissionnera,fissionnerons,fissionnerez,fissionneront,fissionnerais,fissionnerais,fissionnerait,fissionnerions,fissionneriez,fissionneraient,fissionne,fissionnes,fissionne,fissionnions,fissionniez,fissionnent,fissionnai,fissionnas,fissionna,fissionnâmes,fissionnâtes,fissionnèrent,fissionnasse,fissionnasses,fissionnât,fissionnassions,fissionnassiez,fissionnassent,fissionne,fissionnons,fissionnez
fissurer,fissurer,fissure,fissures,fissure,fissurons,fissurez,fissurent,fissurais,fissurais,fissurait,fissurions,fissuriez,fissuraient,fissurerai,fissureras,fissurera,fissurerons,fissurerez,fissureront,fissurerais,fissurerais,fissurerait,fissurerions,fissureriez,fissureraient,fissure,fissures,fissure,fissurions,fissuriez,fissurent,fissurai,fissuras,fissura,fissurâmes,fissurâtes,fissurèrent,fissurasse,fissurasses,fissurât,fissurassions,fissurassiez,fissurassent,fissure,fissurons,fissurez
fixer,fixer,fixe,fixes,fixe,fixons,fixez,fixent,fixais,fixais,fixait,fixions,fixiez,fixaient,fixerai,fixeras,fixera,fixerons,fixerez,fixeront,fixerais,fixerais,fixerait,fixerions,fixeriez,fixeraient,fixe,fixes,fixe,fixions,fixiez,fixent,fixai,fixas,fixa,fixâmes,fixâtes,fixèrent,fixasse,fixasses,fixât,fixassions,fixassiez,fixassent,fixe,fixons,fixez
flageller,flageller,flagelle,flagelles,flagelle,flagellons,flagellez,flagellent,flagellais,flagellais,flagellait,flagellions,flagelliez,flagellaient,flagellerai,flagelleras,flagellera,flagellerons,flagellerez,flagelleront,flagellerais,flagellerais,flagellerait,flagellerions,flagelleriez,flagelleraient,flagelle,flagelles,flagelle,flagellions,flagelliez,flagellent,flagellai,flagellas,flagella,flagellâmes,flagellâtes,flagellèrent,flagellasse,flagellasses,flagellât,flagellassions,flagellassiez,flagellassent,flagelle,flagellons,flagellez
flageoler,flageoler,flageole,flageoles,flageole,flageolons,flageolez,flageolent,flageolais,flageolais,flageolait,flageolions,flageoliez,flageolaient,flageolerai,flageoleras,flageolera,flageolerons,flageolerez,flageoleront,flageolerais,flageolerais,flageolerait,flageolerions,flageoleriez,flageoleraient,flageole,flageoles,flageole,flageolions,flageoliez,flageolent,flageolai,flageolas,flageola,flageolâmes,flageolâtes,flageolèrent,flageolasse,flageolasses,flageolât,flageolassions,flageolassiez,flageolassent,flageole,flageolons,flageolez
flagorner,flagorner,flagorne,flagornes,flagorne,flagornons,flagornez,flagornent,flagornais,flagornais,flagornait,flagornions,flagorniez,flagornaient,flagornerai,flagorneras,flagornera,flagornerons,flagornerez,flagorneront,flagornerais,flagornerais,flagornerait,flagornerions,flagorneriez,flagorneraient,flagorne,flagornes,flagorne,flagornions,flagorniez,flagornent,flagornai,flagornas,flagorna,flagornâmes,flagornâtes,flagornèrent,flagornasse,flagornasses,flagornât,flagornassions,flagornassiez,flagornassent,flagorne,flagornons,flagornez
flairer,flairer,flaire,flaires,flaire,flairons,flairez,flairent,flairais,flairais,flairait,flairions,flairiez,flairaient,flairerai,flaireras,flairera,flairerons,flairerez,flaireront,flairerais,flairerais,flairerait,flairerions,flaireriez,flaireraient,flaire,flaires,flaire,flairions,flairiez,flairent,flairai,flairas,flaira,flairâmes,flairâtes,flairèrent,flairasse,flairasses,flairât,flairassions,flairassiez,flairassent,flaire,flairons,flairez
flamber,flamber,flambe,flambes,flambe,flambons,flambez,flambent,flambais,flambais,flambait,flambions,flambiez,flambaient,flamberai,flamberas,flambera,flamberons,flamberez,flamberont,flamberais,flamberais,flamberait,flamberions,flamberiez,flamberaient,flambe,flambes,flambe,flambions,flambiez,flambent,flambai,flambas,flamba,flambâmes,flambâtes,flambèrent,flambasse,flambasses,flambât,flambassions,flambassiez,flambassent,flambe,flambons,flambez
flamboyer,flamboyer,flamboie,flamboies,flamboie,flamboyons,flamboyez,flamboient,flamboyais,flamboyais,flamboyait,flamboyions,flamboyiez,flamboyaient,flamboierai,flamboieras,flamboiera,flamboierons,flamboierez,flamboieront,flamboierais,flamboierais,flamboierait,flamboierions,flamboieriez,flamboieraient,flamboie,flamboies,flamboie,flamboyions,flamboyiez,flamboient,flamboyai,flamboyas,flamboya,flamboyâmes,flamboyâtes,flamboyèrent,flamboyasse,flamboyasses,flamboyât,flamboyassions,flamboyassiez,flamboyassent,flamboie,flamboyons,flamboyez
flancher,flancher,flanche,flanches,flanche,flanchons,flanchez,flanchent,flanchais,flanchais,flanchait,flanchions,flanchiez,flanchaient,flancherai,flancheras,flanchera,flancherons,flancherez,flancheront,flancherais,flancherais,flancherait,flancherions,flancheriez,flancheraient,flanche,flanches,flanche,flanchions,flanchiez,flanchent,flanchai,flanchas,flancha,flanchâmes,flanchâtes,flanchèrent,flanchasse,flanchasses,flanchât,flanchassions,flanchassiez,flanchassent,flanche,flanchons,flanchez
flâner,flâner,flâne,flânes,flâne,flânons,flânez,flânent,flânais,flânais,flânait,flânions,flâniez,flânaient,flânerai,flâneras,flânera,flânerons,flânerez,flâneront,flânerais,flânerais,flânerait,flânerions,flâneriez,flâneraient,flâne,flânes,flâne,flânions,flâniez,flânent,flânai,flânas,flâna,flânâmes,flânâtes,flânèrent,flânasse,flânasses,flânât,flânassions,flânassiez,flânassent,flâne,flânons,flânez
flânocher,flânocher,flânoche,flânoches,flânoche,flânochons,flânochez,flânochent,flânochais,flânochais,flânochait,flânochions,flânochiez,flânochaient,flânocherai,flânocheras,flânochera,flânocherons,flânocherez,flânocheront,flânocherais,flânocherais,flânocherait,flânocherions,flânocheriez,flânocheraient,flânoche,flânoches,flânoche,flânochions,flânochiez,flânochent,flânochai,flânochas,flânocha,flânochâmes,flânochâtes,flânochèrent,flânochasse,flânochasses,flânochât,flânochassions,flânochassiez,flânochassent,flânoche,flânochons,flânochez
flanquer,flanquer,flanque,flanques,flanque,flanquons,flanquez,flanquent,flanquais,flanquais,flanquait,flanquions,flanquiez,flanquaient,flanquerai,flanqueras,flanquera,flanquerons,flanquerez,flanqueront,flanquerais,flanquerais,flanquerait,flanquerions,flanqueriez,flanqueraient,flanque,flanques,flanque,flanquions,flanquiez,flanquent,flanquai,flanquas,flanqua,flanquâmes,flanquâtes,flanquèrent,flanquasse,flanquasses,flanquât,flanquassions,flanquassiez,flanquassent,flanque,flanquons,flanquez
flasher,flasher,flashe,flashes,flashe,flashons,flashez,flashent,flashais,flashais,flashait,flashions,flashiez,flashaient,flasherai,flasheras,flashera,flasherons,flasherez,flasheront,flasherais,flasherais,flasherait,flasherions,flasheriez,flasheraient,flashe,flashes,flashe,flashions,flashiez,flashent,flashai,flashas,flasha,flashâmes,flashâtes,flashèrent,flashasse,flashasses,flashât,flashassions,flashassiez,flashassent,flashe,flashons,flashez
flatter,flatter,flatte,flattes,flatte,flattons,flattez,flattent,flattais,flattais,flattait,flattions,flattiez,flattaient,flatterai,flatteras,flattera,flatterons,flatterez,flatteront,flatterais,flatterais,flatterait,flatterions,flatteriez,flatteraient,flatte,flattes,flatte,flattions,flattiez,flattent,flattai,flattas,flatta,flattâmes,flattâtes,flattèrent,flattasse,flattasses,flattât,flattassions,flattassiez,flattassent,flatte,flattons,flattez
